recipe_id,raw_material_id,raw_material_ratio,flavour_id,flavour_ratio,ingredient_id,ingredient_ratio,heat_process,yield,generation_date,batch_number
U29F,8,0.07,151,0.44,194,0.49,,92.37,5/5/24,1
7SSJ,199,0.68,368,0.31,172,0.01,,92.61,5/5/24,1
RAB4,24,0.18,289,0.42,12,0.4,,90.52,5/5/24,1
C0DX,157,0.96,324,0.03,8,0.01,,91.64,5/5/24,1
5WVL,123,0.69,32,0.3,252,0.01,Freezing for 20 min,99.47,5/5/24,1
83JK,90,0.37,50,0.62,40,0.01,20°C for 60 min,80.41,5/5/24,1
PYQV,10,0.75,234,0.24,30,0.01,70°C for 10 min,90.73,5/5/24,1
LXKC,69,0.16,370,0.83,169,0.01,Freezing for 20 min,90.68,5/5/24,1
6WZ6,183,0.97,145,0.02,24,0.01,70°C for 10 min,95.1,5/5/24,1
SRKX,185,0.22,417,0.77,126,0.01,Freezing for 20 min,96.06,5/5/24,1
Z45C,122,0.97,300,0.02,103,0.01,Steaming,97.11,5/5/24,1
D200,116,0.81,495,0.18,172,0.01,,91.5,5/5/24,1
L8BU,85,0.52,325,0.24,67,0.24,20°C for 60 min,94.56,5/5/24,1
S536,159,0.74,348,0.09,234,0.17,50°C for 10 min,92.53,5/5/24,1
0YHI,179,0.38,252,0.1,161,0.52,50°C for 10 min,91.4,5/5/24,1
PZ9S,147,0.06,157,0.88,249,0.06,50°C for 10 min,96.79,5/5/24,1
J9VJ,103,0.46,389,0.35,292,0.19,Steaming,96.57,5/5/24,1
2NUU,131,0.53,101,0.16,105,0.31,,96.61,5/5/24,1
R006,45,0.6,13,0.39,223,0.01,Freezing for 20 min,91.05,5/5/24,1
188T,198,0.73,336,0.26,161,0.01,,97.36,5/5/24,1
CNPR,193,0.85,263,0.14,230,0.01,Freezing for 20 min,92.68,5/5/24,1
0XHY,198,0.29,415,0.44,200,0.27,,92.33,5/5/24,1
9WA6,35,0.79,83,0.2,20,0.01,,97.44,5/5/24,1
8XIP,136,0.43,365,0.56,277,0.01,,95.92,5/5/24,1
OFJM,137,0.5,347,0.49,97,0.01,,96.14,5/5/24,1
6OWR,76,0.78,370,0.21,156,0.01,,99.75,5/5/24,1
I43M,174,0.66,348,0.33,256,0.01,20°C for 60 min,97.06,5/5/24,1
4QMO,161,0.24,321,0.75,149,0.01,Freezing for 20 min,91.64,5/5/24,1
42N0,145,0.49,257,0.26,192,0.25,,92.98,5/5/24,1
HFPD,8,0.89,105,0.1,194,0.01,,47.13,5/5/24,1
0P83,198,0.03,201,0.81,275,0.16,,93,5/5/24,1
TVJS,144,0.81,192,0.18,46,0.01,,98,5/5/24,1
JBXL,198,0.76,483,0.14,141,0.1,,90.99,5/5/24,1
KT5R,14,0.2,460,0.79,213,0.01,,95.72,5/5/24,1
HFD3,144,0.86,495,0.13,193,0.01,,90.9,5/5/24,1
6HFF,151,0.73,135,0.21,25,0.06,Freezing for 20 min,86.53,5/5/24,1
2JYW,12,0.15,498,0.84,267,0.01,Steaming,93.42,5/5/24,1
U5ZO,12,0.73,190,0.05,47,0.22,,99.36,5/5/24,1
2Y6J,156,0.28,101,0.71,111,0.01,,68.96,5/5/24,1
8LM9,165,0.44,36,0.32,166,0.24,,93.42,5/5/24,1
4Q8X,186,0.93,223,0.06,60,0.01,,98.35,5/5/24,1
LFGA,159,0.69,84,0.3,110,0.01,,97.25,5/5/24,1
707J,46,0.33,305,0.47,248,0.2,70°C for 10 min,97.7,5/5/24,1
K2A0,198,0.15,95,0.81,39,0.04,50°C for 10 min,93.4,5/5/24,1
LMMN,53,0.84,420,0.15,51,0.01,Steaming,93.64,5/5/24,1
K6SF,147,0.78,427,0.21,134,0.01,,93.93,5/5/24,1
P9S0,104,0.41,237,0.58,86,0.01,,90.23,5/5/24,1
2B40,24,0.48,28,0.51,217,0.01,,98.93,5/5/24,1
8FOZ,190,0.29,54,0.7,71,0.01,,90.87,5/5/24,1
JA1P,119,0.77,395,0.22,235,0.01,70°C for 10 min,28.59,5/5/24,1
M4C7,16,0.84,182,0.15,179,0.01,,92.76,5/5/24,1
F93I,78,0.33,50,0.66,46,0.01,70°C for 10 min,90.2,5/5/24,1
RRHD,157,0.27,284,0.72,8,0.01,,92.93,5/5/24,1
FMEO,127,0.96,356,0.03,208,0.01,50°C for 10 min,98.87,5/5/24,1
6T9W,45,0.43,264,0.2,118,0.37,,96.7,5/5/24,1
TCHR,114,0.15,429,0.65,92,0.2,,95.67,5/5/24,1
IHIN,64,0.14,68,0.34,61,0.52,,98.9,5/5/24,1
K2UQ,103,0.28,331,0.08,277,0.64,,95.21,5/5/24,1
VA25,66,0.44,4,0.55,247,0.01,,97.99,5/5/24,1
OJV6,95,0.54,166,0.02,263,0.44,Freezing for 20 min,95.83,5/5/24,1
BCH1,168,0.67,235,0.32,114,0.01,,90.29,5/5/24,1
GPU2,45,0.15,14,0.84,217,0.01,,98.77,5/5/24,1
GVCP,1,0.06,379,0.57,38,0.37,,99.21,5/5/24,1
UA54,32,0.62,114,0.21,242,0.17,,94.47,5/5/24,1
WV5H,168,0.31,224,0.68,119,0.01,Freezing for 20 min,92.31,5/5/24,1
PSJO,83,0.87,274,0.12,216,0.01,,96.25,5/5/24,1
E1XN,150,0.54,82,0.45,96,0.01,,97.71,5/5/24,1
R0WV,9,0.53,100,0.46,8,0.01,,92.73,5/5/24,1
VJB0,30,0.03,308,0.96,208,0.01,,93.12,5/5/24,1
1FKF,114,0.52,489,0.4,10,0.08,,92.67,5/5/24,1
V50J,145,0.41,252,0.5,95,0.09,Freezing for 20 min,93.83,5/5/24,1
RA0R,163,0.95,323,0.04,249,0.01,70°C for 10 min,98.54,5/5/24,1
F56B,134,0.88,470,0.11,30,0.01,,93.67,5/5/24,1
2YBG,155,0.52,272,0.31,292,0.17,,93.4,5/5/24,1
QJWY,35,0.17,482,0.32,283,0.51,Freezing for 20 min,95.89,5/5/24,1
95JP,138,0.63,460,0.36,273,0.01,,91.15,5/5/24,1
NMVW,85,0.66,338,0.33,133,0.01,,23.85,5/5/24,1
E81S,187,0.17,307,0.63,239,0.2,,95.22,5/5/24,1
Q1XK,126,0.02,235,0.82,269,0.16,Steaming,44.05,5/5/24,1
CYC8,107,0.88,342,0.11,235,0.01,,92.49,5/5/24,1
0QU5,117,0.74,334,0.24,256,0.02,50°C for 10 min,92.69,5/5/24,1
PYU2,167,0.4,14,0.44,223,0.16,,99.78,5/5/24,1
4AYC,3,0.42,127,0.21,214,0.37,,85.07,5/5/24,1
67I4,173,0.75,46,0.24,118,0.01,Steaming,95.81,5/5/24,1
SMJB,8,0.37,109,0.51,61,0.12,,98.3,5/5/24,1
GV7V,118,0.07,391,0.4,89,0.53,,94.88,5/5/24,1
MS28,97,0.65,242,0.34,25,0.01,50°C for 10 min,97,5/5/24,1
D0M5,78,0.03,398,0.83,37,0.14,70°C for 10 min,92.18,5/5/24,1
TCS4,25,0.53,276,0.46,131,0.01,,90.9,5/5/24,1
QTZT,24,0.29,351,0.37,155,0.34,,93.08,5/5/24,1
L618,151,0.04,134,0.52,262,0.44,,96.56,5/5/24,1
4T1Y,21,0.31,280,0.68,109,0.01,,95.25,5/5/24,1
NIMB,144,0.06,345,0.3,31,0.64,70°C for 10 min,95.93,5/5/24,1
2A0M,198,0.5,122,0.47,5,0.03,,95.03,5/5/24,1
CYF5,144,0.93,466,0.06,229,0.01,,96.3,5/5/24,1
N1XG,12,0.07,167,0.31,162,0.62,50°C for 10 min,92.12,5/5/24,1
KUIN,107,0.85,126,0.14,120,0.01,20°C for 60 min,95.23,5/5/24,1
XVCI,167,0.38,77,0.06,271,0.56,,97.96,5/5/24,1
KZK1,198,0.1,316,0.89,42,0.01,,94.66,5/5/24,1
OF9G,147,0.42,493,0.57,129,0.01,Steaming,63.52,5/5/24,1
ZA32,64,0.26,28,0.71,161,0.03,,97.98,5/5/24,1
F9I6,49,0.64,476,0.35,246,0.01,,97.86,5/5/24,1
F0XU,162,0.56,299,0.13,37,0.31,,98.04,5/5/24,1
QD33,155,0.37,54,0.55,9,0.08,,98.28,5/5/24,1
W9B3,92,0.21,187,0.3,108,0.49,,99.37,5/5/24,1
8SOG,14,0.57,307,0.42,168,0.01,50°C for 10 min,91.79,5/5/24,1
P70W,141,0.47,2,0.41,133,0.12,50°C for 10 min,99.39,5/5/24,1
3OZ5,120,0.31,34,0.58,5,0.11,,94.57,5/5/24,1
9J9E,4,0.78,164,0.07,185,0.15,Steaming,92.86,5/5/24,1
G4N7,133,0.45,166,0.29,82,0.26,,97.43,5/5/24,1
22IJ,26,0.55,292,0.43,75,0.02,,98.05,5/5/24,1
KNRB,167,0.03,172,0.49,10,0.48,Freezing for 20 min,98.83,5/5/24,1
L4V4,142,0.71,336,0.19,244,0.1,,64.54,5/5/24,1
FFYI,12,0.08,252,0.13,286,0.79,,94.83,5/5/24,1
Z82M,104,0.39,482,0.6,279,0.01,,50.29,5/5/24,1
NJA7,167,0.54,124,0.38,195,0.08,,90.63,5/5/24,1
1HOX,167,0.78,213,0.21,186,0.01,,96.17,5/5/24,1
9NJ7,14,0.77,192,0.22,225,0.01,,97.47,5/5/24,1
42NH,12,0.7,488,0.29,72,0.01,Steaming,97.43,5/5/24,1
8DZG,159,0.48,186,0.47,242,0.05,,97.94,5/5/24,1
HHDD,45,0.44,267,0.55,96,0.01,,91.34,5/5/24,1
4RLR,121,0.17,326,0.81,216,0.02,Freezing for 20 min,93.35,5/5/24,1
2HC7,125,0.88,484,0.11,86,0.01,50°C for 10 min,97.35,5/5/24,1
B1F3,130,0.06,204,0.24,212,0.7,70°C for 10 min,90.56,5/5/24,1
BVFZ,71,0.38,433,0.61,266,0.01,Freezing for 20 min,98.47,5/5/24,1
JYRF,11,0.68,493,0.31,100,0.01,,90.1,5/5/24,1
46H0,106,0.54,235,0.15,123,0.31,,97.21,5/5/24,1
AC1Q,100,0.76,283,0.18,199,0.06,,99.99,5/5/24,1
DJCK,87,0.18,439,0.26,270,0.56,,91.4,5/5/24,1
R3PG,56,0.75,317,0.22,275,0.03,,97.92,5/5/24,1
5IST,168,0.82,157,0.11,147,0.07,,99.27,5/5/24,1
L7VT,78,0.65,446,0.24,247,0.11,,94.53,5/5/24,1
6Q1Q,25,0.78,284,0.21,157,0.01,,95.3,5/5/24,1
BCEM,155,0.93,204,0.06,95,0.01,,90.2,5/5/24,1
NG9W,132,0.92,3,0.07,74,0.01,,92.77,5/5/24,1
L49F,64,0.75,225,0.24,225,0.01,,91.98,5/5/24,1
O7EX,31,0.47,48,0.52,195,0.01,50°C for 10 min,99.18,5/5/24,1
1HTZ,89,0.3,359,0.67,166,0.03,,95.51,5/5/24,1
FD33,12,0.77,368,0.22,216,0.01,,95.68,5/5/24,1
HCYV,45,0.51,333,0.18,102,0.31,,96.95,5/5/24,1
YGW2,198,0.98,348,0.01,202,0.01,,90.01,5/5/24,1
UD1J,31,0.54,435,0.45,135,0.01,70°C for 10 min,99.82,5/5/24,1
RAP9,55,0.82,311,0.17,209,0.01,20°C for 60 min,91.7,5/5/24,1
2W56,28,0.28,212,0.46,135,0.26,,91.35,5/5/24,1
K2SK,186,0.15,171,0.59,256,0.26,,90.64,5/5/24,1
T8S2,190,0.97,390,0.02,281,0.01,Steaming,99.95,5/5/24,1
CM56,12,0.14,176,0.62,134,0.24,Steaming,76.12,5/5/24,1
FM2Q,183,0.71,430,0.15,171,0.14,Steaming,90.16,5/5/24,1
4PI6,29,0.22,135,0.03,1,0.75,,93.33,5/5/24,1
AKGI,78,0.37,12,0.62,263,0.01,,28.93,5/5/24,1
R0NA,119,0.33,430,0.35,268,0.32,50°C for 10 min,91.12,5/5/24,1
896A,90,0.84,203,0.15,243,0.01,,61.63,5/5/24,1
8UHX,27,0.89,498,0.1,251,0.01,,91.98,5/5/24,1
MGL1,164,0.52,294,0.47,289,0.01,,71.58,5/5/24,1
B723,144,0.68,375,0.31,258,0.01,,91,5/5/24,1
QB3V,194,0.66,179,0.33,87,0.01,,94.08,5/5/24,1
GRJA,75,0.4,33,0.59,58,0.01,,93.07,5/5/24,1
5EJ0,87,0.77,3,0.22,156,0.01,Steaming,98.22,5/5/24,1
Q0XK,74,0.67,199,0.32,218,0.01,,91.32,5/5/24,1
HL7X,12,0.84,207,0.07,76,0.09,,91.86,5/5/24,1
58AD,12,0.75,194,0.24,255,0.01,50°C for 10 min,92.19,5/5/24,1
05VP,156,0.29,388,0.27,295,0.44,,58.7,5/5/24,1
O7D1,57,0.8,95,0.19,292,0.01,,96.34,5/5/24,1
OL87,93,0.51,376,0.48,82,0.01,50°C for 10 min,91.78,5/5/24,1
P4UY,198,0.32,335,0.67,45,0.01,20°C for 60 min,90.52,5/5/24,1
A9RL,5,0.67,498,0.32,42,0.01,,92.72,5/5/24,1
6AOS,101,0.1,387,0.53,90,0.37,,90.2,5/5/24,1
W0TD,101,0.58,282,0.41,291,0.01,,96.08,5/5/24,1
RTCX,200,0.17,135,0.54,180,0.29,,90.3,5/5/24,1
GUU2,167,0.09,494,0.17,26,0.74,,90.37,5/5/24,1
DRCV,12,0.11,275,0.73,72,0.16,Freezing for 20 min,94.46,5/5/24,1
2M7Y,33,0.02,369,0.93,171,0.05,Freezing for 20 min,98.31,5/5/24,1
TPXO,9,0.62,458,0.37,32,0.01,70°C for 10 min,58.43,5/5/24,1
OI9N,43,0.53,404,0.42,294,0.05,,36.37,5/5/24,1
OQJ1,45,0.83,70,0.16,30,0.01,,96.86,5/5/24,1
HEY2,15,0.88,55,0.11,254,0.01,,98.1,5/5/24,1
N9L2,103,0.75,210,0.24,294,0.01,,98.09,5/5/24,1
VQVP,198,0.5,87,0.49,182,0.01,,99.93,5/5/24,1
MY3X,167,0.6,87,0.13,11,0.27,,66.55,5/5/24,1
CTCF,45,0.02,229,0.27,120,0.71,,95.9,5/5/24,1
9WWU,161,0.9,232,0.09,213,0.01,,95.17,5/5/24,1
OFN6,198,0.43,94,0.56,90,0.01,,96.06,5/5/24,1
H9YQ,167,0.13,67,0.16,161,0.71,,97.31,5/5/24,1
8ST0,90,0.08,94,0.78,297,0.14,,91.91,5/5/24,1
KICS,53,0.25,342,0.74,22,0.01,,90.97,5/5/24,1
E35U,152,0.91,279,0.08,262,0.01,Steaming,96,5/5/24,1
HBOK,162,0.38,21,0.49,249,0.13,70°C for 10 min,91.63,5/5/24,1
3XIE,61,0.89,90,0.1,151,0.01,,95.59,5/5/24,1
E1IH,45,0.81,275,0.18,65,0.01,,97.49,5/5/24,1
XF69,141,0.8,12,0.19,137,0.01,,72.99,5/5/24,1
3X6E,180,0.65,60,0.34,271,0.01,Freezing for 20 min,81.38,5/5/24,1
IEM7,6,0.87,76,0.12,198,0.01,,96.42,5/5/24,1
80H7,198,0.42,390,0.36,29,0.22,,92.5,5/5/24,1
TSW4,42,0.53,458,0.46,261,0.01,50°C for 10 min,57.66,5/5/24,1
51TT,74,0.32,424,0.22,273,0.46,50°C for 10 min,94,5/5/24,1
VV41,12,0.1,108,0.62,187,0.28,,32.31,5/5/24,1
HHNB,12,0.11,469,0.41,21,0.48,20°C for 60 min,72.96,5/5/24,1
1FU0,54,0.2,357,0.39,155,0.41,,97.78,5/5/24,1
IP83,113,0.1,258,0.89,267,0.01,,92.48,5/5/24,1
D36L,183,0.86,419,0.13,110,0.01,,99.74,5/5/24,1
2ET9,12,0.91,418,0.08,15,0.01,,98.7,5/5/24,1
1HCZ,108,0.61,184,0.38,3,0.01,,95.45,5/5/24,1
2HO0,83,0.36,296,0.62,79,0.02,Steaming,91.75,5/5/24,1
M0VN,198,0.59,287,0.4,228,0.01,Freezing for 20 min,94.92,5/5/24,1
XZSQ,41,0.21,24,0.78,192,0.01,70°C for 10 min,95.98,5/5/24,1
1X1U,78,0.5,401,0.49,33,0.01,,98.96,5/5/24,1
MLPN,9,0.31,66,0.18,271,0.51,50°C for 10 min,97.14,5/5/24,1
X4VT,187,0.77,285,0.22,143,0.01,,92.84,5/5/24,1
Q7KY,128,0.68,210,0.31,60,0.01,,97.01,5/5/24,1
PSNV,119,0.31,449,0.63,179,0.06,,94.32,5/5/24,1
51I5,12,0.73,108,0.26,298,0.01,,97.35,5/5/24,1
MU1X,18,0.3,2,0.14,101,0.56,Freezing for 20 min,91.22,5/5/24,1
N5ZX,163,0.73,3,0.19,249,0.08,50°C for 10 min,87.13,5/5/24,1
485J,109,0.81,333,0.18,223,0.01,,92.29,5/5/24,1
OD9D,44,0.11,378,0.73,112,0.16,,91.33,5/5/24,1
11C2,109,0.31,174,0.68,90,0.01,,36.86,5/5/24,1
DF9N,198,0.9,284,0.09,276,0.01,,95.46,5/5/24,1
1DNG,19,0.78,111,0.21,124,0.01,,96.91,5/5/24,1
UTKS,198,0.62,400,0.34,158,0.04,,92.16,5/5/24,1
F989,159,0.34,395,0.1,100,0.56,,72.71,5/5/24,1
GUAY,29,0.09,221,0.09,225,0.82,,99.33,5/5/24,1
9TH7,167,0.18,92,0.44,101,0.38,20°C for 60 min,97.33,5/5/24,1
OYUP,151,0.5,320,0.49,55,0.01,,93.96,5/5/24,1
SQ11,115,0.82,28,0.08,19,0.1,Freezing for 20 min,97.5,5/5/24,1
T027,159,0.29,371,0.37,112,0.34,,99.62,5/5/24,1
QH81,29,0.33,87,0.54,95,0.13,,94.92,5/5/24,1
BVWX,145,0.25,253,0.69,288,0.06,,92.07,5/5/24,1
J2OS,133,0.61,425,0.38,107,0.01,,97.62,5/5/24,1
ICDN,57,0.5,317,0.49,222,0.01,,91.5,5/5/24,1
0WFE,144,0.97,143,0.02,87,0.01,,90.81,5/5/24,1
P73E,143,0.77,61,0.22,80,0.01,,90.45,5/5/24,1
ZSBM,45,0.04,157,0.38,123,0.58,,21.47,5/5/24,1
ZGAC,30,0.5,182,0.26,8,0.24,,93.32,5/5/24,1
KZRJ,78,0.46,37,0.53,69,0.01,,91.73,5/5/24,1
KV5O,78,0.72,460,0.27,95,0.01,,99.31,5/5/24,1
ZVSM,167,0.02,50,0.39,234,0.59,50°C for 10 min,98.26,5/5/24,1
CCDS,88,0.22,271,0.29,122,0.49,,49.44,5/5/24,1
H8JB,149,0.74,296,0.16,116,0.1,,96.32,5/5/24,1
3BRE,90,0.51,85,0.05,57,0.44,,95.89,5/5/24,1
25K2,12,0.4,355,0.25,42,0.35,50°C for 10 min,93.61,5/5/24,1
0F7A,136,0.34,136,0.54,84,0.12,,91.86,5/5/24,1
EI2O,182,0.34,168,0.65,296,0.01,,97.88,5/5/24,1
24IL,101,0.62,96,0.03,66,0.35,20°C for 60 min,91.14,5/5/24,1
KB6I,144,0.11,4,0.68,95,0.21,70°C for 10 min,90.6,5/5/24,1
OLEN,160,0.61,429,0.26,49,0.13,,92.19,5/5/24,1
4YXC,90,0.43,484,0.29,4,0.28,,99.45,5/5/24,1
KM8H,48,0.07,81,0.06,57,0.87,,99.72,5/5/24,1
DKSA,173,0.57,407,0.42,111,0.01,,91.08,5/5/24,1
UYLW,167,0.69,129,0.3,233,0.01,Freezing for 20 min,90.15,5/5/24,1
II8Y,173,0.97,256,0.02,95,0.01,,92.25,5/5/24,1
AYS7,167,0.6,325,0.35,255,0.05,20°C for 60 min,99.12,5/5/24,1
AOAV,27,0.41,447,0.03,249,0.56,,96.04,5/5/24,1
PBSF,83,0.9,345,0.09,144,0.01,70°C for 10 min,95.8,5/5/24,1
BN8T,42,0.36,102,0.51,99,0.13,70°C for 10 min,99.97,5/5/24,1
S2W7,32,0.92,165,0.07,143,0.01,,66.91,5/5/24,1
OQCB,161,0.93,46,0.04,170,0.03,Steaming,27.03,5/5/24,1
XXTO,91,0.78,113,0.2,254,0.02,,94.46,5/5/24,1
I9TT,15,0.75,392,0.24,152,0.01,50°C for 10 min,90.65,5/5/24,1
X8JB,80,0.32,362,0.67,290,0.01,,63.64,5/5/24,1
FXJN,199,0.09,310,0.87,280,0.04,70°C for 10 min,90.2,5/5/24,1
ALU3,45,0.18,313,0.27,116,0.55,Freezing for 20 min,92.04,5/5/24,1
WY4I,78,0.92,179,0.07,130,0.01,70°C for 10 min,72.93,5/5/24,1
1LY7,121,0.29,474,0.54,45,0.17,,91.54,5/5/24,1
UZXV,44,0.21,94,0.42,107,0.37,,91.87,5/5/24,1
V1JF,198,0.16,61,0.05,259,0.79,20°C for 60 min,90.36,5/5/24,1
VOAB,131,0.69,359,0.3,1,0.01,Freezing for 20 min,92.07,5/5/24,1
JNP2,45,0.89,144,0.1,61,0.01,,42.84,5/5/24,1
FWFU,90,0.32,327,0.67,138,0.01,,99.72,5/5/24,1
YADB,77,0.66,393,0.33,78,0.01,70°C for 10 min,94.25,5/5/24,1
BQ5Y,24,0.78,61,0.21,254,0.01,,98.04,5/5/24,1
RMJU,57,0.71,90,0.17,70,0.12,,92.83,5/5/24,1
EQJC,110,0.87,460,0.12,209,0.01,Freezing for 20 min,93.41,5/5/24,1
1R61,15,0.52,331,0.47,180,0.01,,55.86,5/5/24,1
7FK0,12,0.9,69,0.09,175,0.01,,94.36,5/5/24,1
FKPG,107,0.94,184,0.05,216,0.01,Steaming,93.55,5/5/24,1
2SCW,88,0.69,96,0.3,52,0.01,Freezing for 20 min,91.42,5/5/24,1
YY2Q,41,0.41,29,0.58,200,0.01,Steaming,97.76,5/5/24,1
L4R8,144,0.39,258,0.6,190,0.01,,94.15,5/5/24,1
UL2H,15,0.43,210,0.56,276,0.01,,81.87,5/5/24,1
Y6HF,54,0.02,406,0.08,58,0.9,70°C for 10 min,91.45,5/5/24,1
ATVK,18,0.62,366,0.08,21,0.3,50°C for 10 min,91.64,5/5/24,1
7ONB,147,0.87,85,0.08,260,0.05,70°C for 10 min,94.06,5/5/24,1
ZSV3,131,0.57,204,0.15,196,0.28,,95.92,5/5/24,1
FQ61,41,0.96,179,0.03,85,0.01,,94.14,5/5/24,1
OVRG,111,0.47,145,0.52,171,0.01,50°C for 10 min,98.76,5/5/24,1
SSR4,144,0.22,124,0.45,70,0.33,,98.14,5/5/24,1
G4MB,9,0.34,148,0.4,138,0.26,Steaming,51.57,5/5/24,1
LX1N,139,0.74,89,0.25,238,0.01,70°C for 10 min,98.3,5/5/24,1
EKBM,64,0.35,133,0.14,262,0.51,,94,5/5/24,1
D511,27,0.79,168,0.2,85,0.01,,94.63,5/5/24,1
R2YR,167,0.94,99,0.05,148,0.01,Steaming,95.43,5/5/24,1
GKOE,124,0.18,38,0.02,63,0.8,,91.44,5/5/24,1
IDR9,108,0.6,488,0.39,186,0.01,,90.69,5/5/24,1
78HZ,167,0.65,269,0.34,275,0.01,Steaming,91.9,5/5/24,1
EREB,52,0.85,480,0.05,88,0.1,Freezing for 20 min,93.64,5/5/24,1
1E9P,4,0.43,344,0.56,94,0.01,,97.67,5/5/24,1
Z8KF,196,0.82,474,0.06,289,0.12,50°C for 10 min,64.87,5/5/24,1
EAZW,52,0.63,169,0.36,27,0.01,,98.11,5/5/24,1
I9JD,131,0.88,479,0.11,269,0.01,Freezing for 20 min,90.98,5/5/24,1
NP96,198,0.65,443,0.34,59,0.01,Freezing for 20 min,98.39,5/5/24,1
8DQP,45,0.12,288,0.26,128,0.62,,82.85,5/5/24,1
IUTC,199,0.24,6,0.75,168,0.01,,94.27,5/5/24,1
VRXF,106,0.75,348,0.23,9,0.02,70°C for 10 min,95.98,5/5/24,1
SWR6,198,0.23,398,0.4,119,0.37,,91.85,5/5/24,1
NQIF,14,0.84,343,0.15,130,0.01,,34.58,5/5/24,1
KFC3,104,0.58,64,0.03,202,0.39,,90.77,5/5/24,1
9QIV,195,0.19,57,0.8,255,0.01,20°C for 60 min,98.54,5/5/24,1
QDQC,32,0.61,262,0.38,264,0.01,Steaming,97.1,5/5/24,1
3AL6,55,0.43,410,0.19,116,0.38,,96.79,5/5/24,1
960R,45,0.53,414,0.46,53,0.01,,94.61,5/5/24,1
VW4G,198,0.48,436,0.12,62,0.4,,45.06,5/5/24,1
8L9R,52,0.71,364,0.06,214,0.23,,71.46,5/5/24,1
LPVF,23,0.9,474,0.08,35,0.02,,92.51,5/5/24,1
73GF,165,0.19,452,0.8,10,0.01,Freezing for 20 min,86.02,5/5/24,1
T34C,100,0.67,210,0.24,5,0.09,,97.17,5/5/24,1
TAAO,120,0.48,413,0.08,288,0.44,,95.27,5/5/24,1
OS98,124,0.38,83,0.21,298,0.41,,96.02,5/5/24,1
4VTZ,126,0.95,500,0.04,53,0.01,,98.51,5/5/24,1
5T4K,90,0.33,338,0.42,74,0.25,Steaming,95.69,5/5/24,1
FBLK,198,0.32,350,0.22,170,0.46,,94.51,5/5/24,1
CRRY,37,0.04,301,0.23,108,0.73,50°C for 10 min,98.77,5/5/24,1
S5UU,198,0.81,302,0.18,198,0.01,,97.82,5/5/24,1
DA0S,59,0.14,396,0.63,22,0.23,,92.33,5/5/24,1
WPLW,41,0.88,27,0.11,191,0.01,,94.71,5/5/24,1
1VE8,129,0.64,260,0.35,148,0.01,50°C for 10 min,94.24,5/5/24,1
EKEA,181,0.02,177,0.13,186,0.85,Steaming,94.12,5/5/24,1
6S2D,78,0.96,239,0.03,10,0.01,,98.32,5/5/24,1
JOUZ,12,0.79,495,0.2,138,0.01,,90.19,5/5/24,1
GKJJ,106,0.76,96,0.23,107,0.01,,92.24,5/5/24,1
YHRQ,198,0.31,37,0.49,269,0.2,Freezing for 20 min,98.91,5/5/24,1
3K95,78,0.43,132,0.56,21,0.01,,57.06,5/5/24,1
92H1,6,0.25,398,0.16,154,0.59,,99.17,5/5/24,1
WVUO,96,0.51,318,0.05,173,0.44,,94.21,5/5/24,1
8MKV,78,0.22,182,0.13,100,0.65,,91.53,5/5/24,1
OB1A,12,0.76,56,0.23,293,0.01,Freezing for 20 min,99.57,5/5/24,1
VLNY,177,0.11,413,0.13,277,0.76,50°C for 10 min,92.14,5/5/24,1
YYWC,127,0.41,65,0.58,279,0.01,,25.6,5/5/24,1
PQ9M,32,0.13,274,0.76,144,0.11,,98.85,5/5/24,1
9KWD,190,0.14,359,0.76,70,0.1,,99.35,5/5/24,1
G0BA,116,0.14,134,0.16,197,0.7,,95.27,5/5/24,1
8VID,144,0.5,465,0.32,291,0.18,,90.05,5/5/24,1
9U3R,118,0.24,322,0.73,195,0.03,,40.85,5/5/24,1
1U28,198,0.03,471,0.61,181,0.36,,99.44,5/5/24,1
P41M,181,0.48,5,0.15,254,0.37,,93.99,5/5/24,1
SAIJ,5,0.94,39,0.05,285,0.01,20°C for 60 min,59.36,5/5/24,1
QS1D,4,0.71,327,0.24,206,0.05,,96.04,5/5/24,1
WSL9,93,0.04,237,0.9,92,0.06,,93.1,5/5/24,1
J3QW,65,0.28,121,0.61,213,0.11,,98.4,5/5/24,1
60VE,106,0.73,410,0.26,257,0.01,20°C for 60 min,59.82,5/5/24,1
BEBC,71,0.67,324,0.28,67,0.05,,98.16,5/5/24,1
77Z8,177,0.13,63,0.86,201,0.01,,97.03,5/5/24,1
S7S0,36,0.32,390,0.62,110,0.06,,97.2,5/5/24,1
HFPE,12,0.53,98,0.46,101,0.01,50°C for 10 min,91.01,5/5/24,1
TWVV,73,0.55,479,0.32,212,0.13,,40.64,5/5/24,1
SYT6,28,0.74,371,0.25,50,0.01,Freezing for 20 min,97.99,5/5/24,1
YO3V,120,0.63,299,0.12,88,0.25,,56.74,5/5/24,1
1LC6,90,0.27,225,0.72,168,0.01,,95.78,5/5/24,1
HTYZ,144,0.59,170,0.34,49,0.07,,95.58,5/5/24,1
JK3T,12,0.82,254,0.17,228,0.01,,94.94,5/5/24,1
I27K,154,0.25,30,0.1,185,0.65,,90.37,5/5/24,1
ZFMU,55,0.36,277,0.5,207,0.14,,90.79,5/5/24,1
5KDS,141,0.16,471,0.23,104,0.61,,95.05,5/5/24,1
